操作日(年),操作日(月),操作日(日),操作時刻(時),操作時刻(分),操作時刻(秒),取引順番号,摘要,お支払金額,お預り金額,残高,メモ
2024,11,27,3,26,53,101,ＡＰアプラス　　　　　　　　　,29800,,507829,
2024,11,27,3,31,6,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,503602,
2024,11,27,14,22,28,301,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A332001,100000,,403602,
2024,11,28,23,50,45,101,セブンATM出金,15000,,388602,
2024,11,28,23,50,45,102,ＡＴＭ手数料,165,,388437,
2024,11,29,15,15,34,101,Vデビット　日乃屋カレー甲府上町店　1A334001,1660,,386777,
2024,11,29,20,41,38,201,Vデビット　UberJP_EATS　1A334002,3618,,383159,
2024,11,29,20,43,50,301,Vデビット　UBER   *EATS　1A334003,1800,,381359,
2024,11,30,13,21,1,101,ローソンATM出金,20000,,361359,
2024,11,30,13,21,1,102,ＡＴＭ手数料,165,,361194,
2024,11,30,23,59,37,201,Vデビット　スターダストエボリューション＊ＵＳＥＮ　1A335002,15250,,345944,
2024,12,1,0,38,12,101,決算お利息 11月分,,20,345964,
2024,12,1,9,41,4,201,Vデビット　ADOBE SYSTEMS SOFTWARE　1A336001,7780,,338184,
2024,12,1,11,39,43,301,Vデビット　ｗｐＸ（自動引落）　1A336002,5280,,332904,
2024,12,2,1,46,27,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A337001,34144,,298760,
2024,12,2,18,31,42,201,セブンATM出金,20000,,278760,
2024,12,4,16,16,34,101,Vデビット　ＥＮＥＯＳ－ＳＳ　1A335001,3010,,275750,
2024,12,4,16,50,44,201,ローソンATM出金,30000,,245750,
2024,12,8,16,40,33,101,Vデビット　ＢｒｅａｋｉｎｇＤｏｗｎ　1A343001,3040,,242710,
2024,12,8,17,25,42,201,振込 ヤマグチ　カズエ,30000,,212710,
2024,12,8,17,25,42,202,振込手数料,160,,212550,
2024,12,9,19,40,59,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A344001,100000,,112550,
2024,12,14,4,6,32,101,Vデビット　ZOOM.COM 888-799-9666　1A349001,2338,,110212,
2024,12,16,19,49,8,101,Vデビット　X CORP. PAID FEATURES　1A351001,1960,,108252,
2024,12,17,17,51,20,101,Vデビット　サイゼリヤ／ＮＦＣ　1A352001,6800,,101452,
2024,12,18,21,55,50,101,Vデビット　ＧＯＯＧＬＥ　ＡＤＳ１３６３７１９６４２　1A353001,100000,,1452,
2024,12,21,22,7,8,101,セブンATM入金,,200000,201452,
2024,12,21,22,8,0,201,セブンATM出金,200000,,1452,
2024,12,21,22,15,22,301,振込 オザワ　ムネヒロ,,350000,351452,
2024,12,21,22,16,26,401,Vデビット　TRIP.COM　1A356001,330610,,20842,
2024,12,23,5,31,5,101,Vデビット　ﾗｸﾗｸﾌﾘ-ﾜｲﾌｱｲ　1A358001,3080,,17762,
2024,12,24,17,2,56,101,セブンATM出金,15000,,2762,
2024,12,24,17,2,56,102,ＡＴＭ手数料,165,,2597,
2024,12,25,9,23,11,101,振込 カ）　エ－トラツク,,952404,955001,
2024,12,25,10,51,0,201,Vデビット　フルーツパーク富士屋ホテル　1A360001,94320,,860681,
2024,12,25,12,18,48,301,振込 ヤマグチ　カズエ,300000,,560681,
2024,12,25,12,18,48,302,振込手数料,160,,560521,
2024,12,26,2,30,58,101,損害保険ジャパン株式会社　　　,5860,,554661,
2024,12,26,2,30,58,201,東京海上日動　　　　　　　　　,5600,,549061,
2024,12,26,16,6,30,301,セブンATM出金,20000,,529061,
2024,12,26,16,6,30,302,ＡＴＭ手数料,165,,528896,
2024,12,27,3,27,20,101,ＡＰアプラス　　　　　　　　　,29800,,499096,
2024,12,27,3,31,28,201,ＣＳＳ（ソンポヒマワリ　　　　,4227,,494869,
2024,12,28,14,14,17,101,Vデビット　ｸﾞｰｸﾞﾙ･ｼﾞｬﾊﾟﾝ･ｼﾞｰ･ﾄﾞｯﾄ･　1A363001,100000,,394869,
2024,12,30,9,37,9,101,振込 カ）カイノクニヒマワリジムシヨ,,66000,460869,
2024,12,30,11,43,46,201,Vデビット　TRIP.COM　1A365001,16120,,444749,
2024,12,30,15,0,2,301,セブンATM出金,60000,,384749,
2024,12,31,23,10,27,101,Vデビット　ADOBE SYSTEMS SOFTWARE　1A366001,7780,,376969,
